label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
2	852 m^3	0.1976	ferret	cOMPUTER gAME dESIGN	1.1539	852	MOTOR SPORTS	1057 kg/s	695	194	TENNIS	0.0689	0.5269	522	0.9031
1	1292 m^3	0.9112	dog	Data Science	0.0172	545	boxing	871 kg/s	1218	127	soccer	0.6179	0.8914	765	0.5337
3	401 m^3	0.5994	chicken	Human Computer Interaction	0.7812	907	motor sports	1304 kg/s	1029	66	tennis	0.9529	1.243	604	0.8488
4	-459 m^3	1.1289	reptile	Computer Engineering, Bioengineering, Computer Science	0.857	171	ice hockey	-1 kg/s	267	1205	tennis	1.2144	0.4116	1024	0.9313
3	383 m^3	0.1356	chicken	Natural Language Processing	0.4691	838	boxing	767 kg/s	992	1087	boxing	1.0093	0.9663	794	0.8494
5	403 m^3	0.4674	hamster	Robotics Engineering	1.3494	618	running	291 kg/s	671	1236	badminton	0.33	0.7463	604	1.0303
3	-95 m^3	0.0985	chicken	Human Computer Interaction	1.191	1260	motor sports	1008 kg/s	685	549	BOXING, FOOTBALL	0.9648	0.9413	1365	0.5235
5	1009 m^3	0.8006	guinea pig	Technology and Information Management, Electrical Engineering	0.8144	721	?	-81 kg/s	1639	1241	badminton	0.8435	0.4794	1118	0.8551
3	326 m^3	-0.1938	chicken	Natural Language Processing	0.9706	1340	motor sports	500 kg/s	997	1060	motor sports	0.8589	0.5181	1104	1.0414
0	1411 m^3	0.5694	cat	Computational Media	1.0626	1421	ice hockey	674 kg/s	1039	190	basketball	1.0695	0.3245	429	0.6755
3	-190 m^3	0.4576	chicken	Human Computer Interaction	0.7979	171	motor sports	1045 kg/s	502	146	football	1.4582	0.8153	1402	0.9993
0	1048 m^3	0.7567	fish	Computational Media, Statistics	0.5825	1515	volleyball	653 kg/s	1092	113	basketball	0.9248	0.0007	732	1.2974
3	611 m^3	0.6629	chicken	Natural Language Processing	1.7094	826	motor sports	1128 kg/s	None	833	boxing	1.0143	1.0801	935	0.7429
5	967 m^3	0.4424	guinea pig	Games and Playable Media	1.3592	1318	tennis	210 kg/s	1656	1668	golf, track & field	0.5104	0.8457	1170	0.7453
2	?	0.2143	ferret	Computer Game Design	0.7727	936	badminton	811 kg/s	357	1113	volleyball, baseball	-0.2255	0.7643	410	1.1763
2	1090 m^3	0.0242	ferret	cOMPUTER gAME dESIGN	1.2556	704	baseball	1353 kg/s	1004	787	volleyball, baseball	0.1749	0.7203	592	0.3408
3	559 m^3	0.6284	chicken	Natural Language Processing	0.8819	622	motor sports	815 kg/s	925	1306	motor sports	0.7918	0.9131	972	1.1011
5	1031 m^3	0.8794	guinea pig	Technology and Information Management, Games and Playable Media	0.9555	925	badminton	-94 kg/s	710	306	ice hockey, golf	0.5336	1.065	917	1.2618
2	1489 m^3	0.3453	ferret	Computer Game Design	0.6882	626	n/a	1072 kg/s	126	310	baseball	-0.1045	0.7662	687	0.8094
1	777 m^3	1.1167	pig	Human Computer Interaction	0.6081	783	boxing	803 kg/s	607	989	soccer	0.7766	0.3943	-107	-0.1158
4	13 m^3	1.2914	bird	Bioengineering, Applied Mathematics, Computer Science	1.3566	98	ice hockey	476 kg/s	435	1015	track & field	1.1939	0.1438	531	0.7296
0	1160 m^3	0.7461	rabbit	Computational Media	0.8015	1105	golf	708 kg/s	1153	-285	golf, ice hockey, track & field	1.3618	0.5875	834	1.1012
5	642 m^3	0.6464	rat	Robotics Engineering, Technology and Information Management, Games and Playable Media	1.5099	735	SOCCER	-136 kg/s	1670	1199	ice hockey	0.5807	0.5623	618	0.5994
5	660 m^3	0.8406	guinea pig	Electrical Engineering, Biotechnology	1.0437	1011	soccer	35 kg/s	1247	1925	golf, badminton	0.4645	0.6019	n/a	0.7736
4	9 m^3	0.7401	bird	Bioengineering, Computer Engineering	0.4251	-306	ice hockey	652 kg/s	841	731	tennis	1.0883	0.308	994	1.1312
3	508 m^3	0.4934	chicken	Natural Language Processing	1.3292	971	motor sports	1102 kg/s	519	914	boxing	1.1691	1.0457	847	1.1772
5	922 m^3	0.8253	dog	Games and Playable Media, Electrical Engineering, Biotechnology	0.9619	691	tennis	286 kg/s	655		baseball	0.8775	1.0219	777	0.8834
2	769 m^3	0.032	ferret	Computer Game Design	1.0853	1224	baseball	721 kg/s	1085	-282	running, baseball	0.2343	0.9054	449	1.0687
0	1131 m^3	0.3034	cat	Statistics, Computational Media	0.0563	861	GOLF	688 kg/s	978	356	basketball	1.1313	0.1365	828	0.7867
5	971 m^3	1.0374	guinea pig	Games and Playable Media, Robotics Engineering, Technology and Information Management	1.3569	502	ice hockey	151 kg/s	1499	1393	golf		1.0663	762	0.8613
1	926 m^3	0.902	dog	Data Science	-0.0161	483	boxing	1062 kg/s	633	1003	soccer	0.9121	0.5726	-153	0.3126
0	900 m^3	0.0369	cat	Statistics, Computational Media	0.7195	1248	volleyball	1049 kg/s	930	-193	basketball	1.0352	0.4814	1095	1.1248
3	19 m^3	0.4829	chicken	Natural Language Processing	1.3076	982	motor sports	1032 kg/s	1035	1487	boxing	0.7095	1.2175	1306	1.0997
0	1041 m^3	0.9784	fish	Statistics	1.5321	955	VOLLEYBALL	1008 kg/s	800	475	basketball	0.3724	-0.1344	793	0.7399
4	-29 m^3	1.477	reptile	Bioengineering, Computer Science	1.0388	-575	ice hockey	554 kg/s	793	1608	tennis	1.1267	-0.0172	571	0.9866
2	1070 m^3	0.2392	ferret	Computer Game Design	1.1838	1127	Baseball	823 kg/s	381	388	volleyball	0.184	0.8758	936	0.6921
5	882 m^3	1.0039	rat	Robotics Engineering, Games and Playable Media, Biotechnology	1.0036	1239	soccer	-287 kg/s	857	1317	golf, badminton	0.2393	0.8381	922	0.9461
0	1011 m^3	0.5668	cat	Computational Media	0.4799	734	golf	897 kg/s	1215	179	basketball	0.7814	-0.3245	812	1.1258
5	656 m^3	0.6202	guinea pig	Biotechnology	0.9625	1046	soccer	394 kg/s	1058	685	ice hockey, badminton	0.3359	1.0046	867	1.3018
2	1059 m^3	0.1568	CHICKEN	Computer Game Design	1.2387	718	baseball	1265 kg/s	504	157	baseball, volleyball	0.2137	0.7546	530	1.0241
1	970 m^3	1.1009	dog	Data Science	0.3369	531	Basketball	528 kg/s	912	869	soccer	0.4973	0.5346	84	0.0973
5	497 m^3	0.7555	rat	Electrical Engineering, Games and Playable Media	0.5207	886	soccer	282 kg/s	1405	980	track & field, ice hockey, golf	?	0.5589	459	0.702
4	307 m^3	1.0898	reptile	Computer Engineering, Bioengineering, Applied Mathematics	0.9737	94	ice hockey	175 kg/s	604	1045	tennis	0.9087	-0.4059	786	1.0886
2	932 m^3	0.0252	ferret	Computer Game Design	NULL	826	badminton	1124 kg/s	228	199	volleyball	-0.2124	0.9896	638	0.8631
3	245 m^3	0.0355	chicken	Natural Language Processing	0.8167	581	motor sports	937 kg/s	2008	1180	basketball	1.13	0.6481	353	0.9864
0	878 m^3	0.5716	cat	Statistics, Bioinformatics	0.5763	1165	volleyball	1026 kg/s	678	-428	basketball	1.1259	0.1631	749	1.2707
0	636 m^3	0.6753	cat	Computational Media	0.9697	962	golf	1020 kg/s	1071	105	basketball	0.9332	0.2625	1065	1.06
2	1214 m^3	-0.0365	ferret	Computer Game Design	1.8788	1058	baseball	682 kg/s	596	155	volleyball	-0.1366	0.7575	755	1.2981
0	1042 m^3	0.4559	rabbit	Bioinformatics	1.2845	1119	volleyball	1205 kg/s	993	-135	basketball	0.4521	0.5949	772	1.3464
4	-292 m^3	0.7649	reptile	Bioengineering, Computer Science	0.7693	367	ice hockey	925 kg/s	1077	630	tennis	0.7406	0.213	695	0.6501
2	995 m^3	-0.0937	ferret	Computer Game Design	0.8291	1342	badminton	850 kg/s	426	591	volleyball	-0.0113	1.0705	656	1.3732
0	850 m^3	0.0563	cat	Statistics	0.7265	1220	golf	1096 kg/s	679	-116	basketball	0.78	0.4817	804	0.8751
0	816 m^3	0.7486	rabbit	Computational Media, Statistics	0.7422	603	Golf	774 kg/s	658	-350	basketball	1.3676	0.3215	1063	0.9568
1	897 m^3	1.0466	pig	Data Science	-0.1854	566	boxing	1319 kg/s	1096	1109	soccer	1.0479	0.7247	110	0.178
0	1043 m^3	0.6786	fish	Bioinformatics	0.7262	921	golf	761 kg/s	435	-574	basketball	0.9961	0.1542	681	0.5454
